PSKDSZS,PSNZWP,KDNRZK,ZJROKH,ZJMSCH,ZJDZIEN,ZJGRLD,ZJKODZJ,ZJKDPRC,ZJZRST
149180140,WISŁA,Wisła (2),2021,3,18,999,3.0,8.0,
149180140,WISŁA,Wisła (2),2021,3,19,999,3.0,8.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,2,2,0,3.0,3.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,2,3,1,3.0,3.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,3,12,999,3.0,2.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,3,13,999,3.0,1.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,3,14,999,3.0,1.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,3,16,999,3.0,2.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,3,17,999,3.0,2.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,3,18,999,3.0,8.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,3,19,999,3.0,9.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,3,20,999,3.0,7.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,3,21,999,3.0,2.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,4,1,999,3.0,2.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,4,2,999,3.0,1.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,4,9,999,3.0,1.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,4,11,999,3.0,1.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,4,12,999,3.0,2.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,4,13,999,3.0,3.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,4,14,999,3.0,3.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,4,15,999,3.0,6.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,4,16,999,3.0,4.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,4,17,999,3.0,3.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,4,18,999,3.0,1.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,5,11,999,3.0,1.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,5,20,999,3.0,1.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,5,21,999,3.0,1.0,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2021,5,22,999,3.0,1.0,
149180100,SKOCZÓW,Wisła (2),2021,3,18,999,3.0,6.0,
149180100,SKOCZÓW,Wisła (2),2021,3,19,999,3.0,7.0,
149180100,SKOCZÓW,Wisła (2),2021,3,20,999,3.0,6.0,
149180100,SKOCZÓW,Wisła (2),2021,3,21,999,3.0,3.0,
149180100,SKOCZÓW,Wisła (2),2021,4,1,999,3.0,3.0,
149180100,SKOCZÓW,Wisła (2),2021,4,2,999,3.0,2.0,
149180100,SKOCZÓW,Wisła (2),2021,4,9,999,3.0,2.0,
149180100,SKOCZÓW,Wisła (2),2021,4,10,999,3.0,2.0,
149180100,SKOCZÓW,Wisła (2),2021,4,11,999,3.0,3.0,
149180100,SKOCZÓW,Wisła (2),2021,4,12,999,3.0,5.0,
149180100,SKOCZÓW,Wisła (2),2021,4,13,999,3.0,6.0,
149180100,SKOCZÓW,Wisła (2),2021,4,14,999,3.0,6.0,
149180100,SKOCZÓW,Wisła (2),2021,4,15,999,3.0,6.0,
149180100,SKOCZÓW,Wisła (2),2021,4,16,999,3.0,6.0,
149180100,SKOCZÓW,Wisła (2),2021,4,17,999,3.0,4.0,
149180100,SKOCZÓW,Wisła (2),2021,4,18,999,4.0,2.0,
149180240,GOCZAŁKOWICE,Wisła (2),2021,4,8,999,1.0,2.0,
149180240,GOCZAŁKOWICE,Wisła (2),2021,4,9,999,1.0,2.0,
