PSKDSZS,PSNZWP,KDNRZK,COROKH,COMSCH,CODZIEN,COSTAN,COPRZP,COPTMP,COMSCK
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,1,525,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,2,525,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,3,527,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,4,525,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,5,534,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,6,528,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,7,533,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,8,553,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,9,525,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,10,516,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,11,528,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,12,536,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,13,534,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,14,535,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,15,522,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,16,515,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,17,515,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,18,523,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,19,535,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,20,541,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,21,547,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,22,541,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,23,540,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,24,531,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,25,529,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,26,540,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,27,545,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,28,541,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,29,550,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,1,30,538,99999.999,99.9,11
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,1,529,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,2,545,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,3,537,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,4,532,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,5,535,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,6,532,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,7,513,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,8,499,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,9,496,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,10,493,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,11,500,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,12,498,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,13,497,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,14,496,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,15,498,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,16,513,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,17,526,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,18,515,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,19,541,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,20,554,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,21,531,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,22,515,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,23,503,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,24,532,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,25,529,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,26,523,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,27,507,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,28,487,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,29,497,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,2,30,496,99999.999,99.9,12
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,1,520,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,2,504,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,3,518,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,4,515,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,5,523,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,6,548,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,7,529,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,8,524,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,9,522,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,10,528,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,11,514,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,12,506,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,13,516,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,14,542,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,15,539,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,16,515,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,17,560,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,18,536,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,19,522,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,20,567,99999.999,99.9,1
154180160,GDAŃSK-SOBIESZEWO,Martwa Wisła (48),2022,3,21,585,99999.999,99.9,1
