PSKDSZS,PSNZWP,KDNRZK,ZJROKH,ZJMSCH,ZJDZIEN,ZJGRLD,ZJKODZJ,ZJKDPRC,ZJZRST
149180200,WISŁA-CZARNE,Wisła (2),2022,3,18,999,3,5,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2022,2,13,999,3,1,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2022,2,23,999,3,1,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2022,2,24,999,3,1,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2022,2,25,999,3,1,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2022,2,26,999,3,1,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2022,2,27,999,3,2,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2022,2,28,999,3,2,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2022,3,24,999,3,2,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2022,5,11,999,3,1,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2022,5,12,999,3,1,
149180110,USTROŃ-OBŁAZIEC,Wisła (2),2022,5,13,999,3,1,
149180100,SKOCZÓW,Wisła (2),2022,2,27,999,3,2,
149180100,SKOCZÓW,Wisła (2),2022,2,28,999,3,1,
150200100,POPĘDZYNKA,Wisła (2),2022,3,24,999,7,2,
150200150,KARSY,Wisła (2),2022,3,24,999,1,1,
150210190,ZAWICHOST,Wisła (2),2022,2,26,999,6,2,
150210190,ZAWICHOST,Wisła (2),2022,2,27,999,6,7,
150210190,ZAWICHOST,Wisła (2),2022,2,28,999,6,5,
150210190,ZAWICHOST,Wisła (2),2022,2,29,999,6,2,
150210190,ZAWICHOST,Wisła (2),2022,2,30,999,3,1,
150210190,ZAWICHOST,Wisła (2),2022,2,31,999,3,1,
150210190,ZAWICHOST,Wisła (2),2022,3,24,999,6,4,
150210190,ZAWICHOST,Wisła (2),2022,3,25,999,6,2,
151210190,PUŁAWY-AZOTY,Wisła (2),2022,2,26,999,1,3,
151210190,PUŁAWY-AZOTY,Wisła (2),2022,2,27,999,1,7,
151210190,PUŁAWY-AZOTY,Wisła (2),2022,2,28,999,1,6,
151210190,PUŁAWY-AZOTY,Wisła (2),2022,2,29,999,1,6,
151210190,PUŁAWY-AZOTY,Wisła (2),2022,2,30,999,1,3,
151210190,PUŁAWY-AZOTY,Wisła (2),2022,3,25,999,1,1,
151210120,DĘBLIN,Wisła (2),2022,2,27,999,1,2,
